question_id,sprint,dataset,doc_name,source_model,difficulty,question,ground_truth,failure_type,score,is_sprint4_hard_case,notes
S3_FINHYBRID_ABMD/2012/page_79.pdf-2,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,how much of total future minimum lease payments are due currently?,35% | 2845.5,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_79.pdf-2
S3_FINHYBRID_ABMD/2012/page_79.pdf-3,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,"what is the percentage increase in base rent for danvers , massachusetts facility from the period 2008-2010 to 2010 - 2014?",60.9% | 0.60875,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_79.pdf-3
S3_FINHYBRID_ABMD/2012/page_79.pdf-4,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,"what is the percentage increase in base rent for danvers , massachusetts facility from the period 2010-2014 to 2014-2016?",2.6% | 0.02564,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_79.pdf-4
S3_FINHYBRID_ABMD/2012/page_41.pdf-3,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,what is the roi of an investment in abiomed inc from march 2007 to march 2010?,-24.5% | -0.2445,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_41.pdf-3
S3_FINHYBRID_ABMD/2012/page_41.pdf-4,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,what is the roi of an investment in nasdaq composite index from march 2007 to march 2010?,-1.0% | -0.0098,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_41.pdf-4
S3_FINHYBRID_GS/2016/page_79.pdf-3,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of total long-term assets under supervision are comprised of fixed income in 2015?,57% | 0.57484,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_79.pdf-3
S3_FINHYBRID_GS/2016/page_79.pdf-1,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of total long-term assets under supervision are comprised of fixed income in 2016?,59% | 0.588,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_79.pdf-1
S3_FINHYBRID_GS/2016/page_161.pdf-1,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of total loans receivable gross in 2016 were loans backed by commercial real estate?,9% | 0.09488,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_161.pdf-1
S3_FINHYBRID_GS/2016/page_183.pdf-3,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of future minimum rental payments are due in 2018?,15% | 0.14529,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_183.pdf-3
S3_FINHYBRID_GS/2016/page_186.pdf-2,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,"in millions , for 2016 , 2015 , and 2014 what was the total amount of common share repurchases?",90.1 | 90.5,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_186.pdf-2
S3_FINHYBRID_GS/2016/page_79.pdf-4,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,of the total aus net inflows/ ( outflows ) for 2014 were fixed income asset inflows in connection with our acquisition of deutsche asset & wealth management 2019s stable value business greater than the liquidity products inflows in connection with our acquisition of rbs asset management 2019s money market funds?,yes | yes,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_79.pdf-4
S3_FINHYBRID_GS/2016/page_79.pdf-2,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,"in billions , for 2016 , 2015 , and 2014 , what are total alternative investments?",439 | 439.0,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_79.pdf-2
S3_FINHYBRID_GS/2016/page_186.pdf-1,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what was the difference in millions between the total cost of common shares repurchases from 2015 to 2016?,1874 | 1874.0,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_186.pdf-1
S3_FINHYBRID_GS/2016/page_183.pdf-4,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of future minimum rental payments are due in 2017?,15% | 0.14941,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_183.pdf-4
S3_FINHYBRID_GS/2016/page_183.pdf-1,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what were total investment commitments in billions for 2016 and 2015 related to commitments to invest in funds managed by the firm?,4.96 | 4.96,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_183.pdf-1
S3_FINHYBRID_GS/2016/page_186.pdf-3,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what was the difference in millions between the total cost of common shares repurchases from 2015 to 2016?,-1274 | -1274.0,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_186.pdf-3
S3_FINHYBRID_GS/2016/page_186.pdf-4,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,"what was total shareholders 2019 equity common equity dividends declared per common share in 2016 , 2015 and 2014?",7.40 | 7.4,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_186.pdf-4
S3_FINHYBRID_GS/2016/page_81.pdf-2,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what is the debt-to-total asset ratio in 2015?,2.7% | 0.02695,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_81.pdf-2
S3_FINHYBRID_GS/2016/page_161.pdf-3,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,"for december 2016 and december 2015 , what was total fair value of loans receivable in billions?",94.99 | 94.99,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_161.pdf-3
S3_FINHYBRID_GS/2016/page_183.pdf-2,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,"what was total rent charged to operating expense in millions for 2016 , 2015 and 2014?",802 | 802.0,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_183.pdf-2
S3_FINHYBRID_GS/2016/page_81.pdf-1,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what is the debt-to-total asset ratio in 2016?,2.5% | 0.0252,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_81.pdf-1
S3_FINHYBRID_GS/2016/page_161.pdf-2,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of total loans receivable gross in 2015 were loans backed by commercial real estate?,12% | 0.11503,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_161.pdf-2
S3_FINHYBRID_GS/2016/page_77.pdf-4,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of total net revenue investing & lending segment is due to equity securities in 2015?,70% | 0.69555,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_77.pdf-4
S3_FINHYBRID_GS/2016/page_70.pdf-1,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what is the net change in the number of staff in 2016?,-2400 | -2400.0,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_70.pdf-1
S3_FINHYBRID_GS/2016/page_70.pdf-2,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what is the net change in the number of staff in 2015?,2800 | 2800.0,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_70.pdf-2
S3_FINHYBRID_GS/2016/page_77.pdf-1,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,what percentage of total net revenue investing & lending segment is due to equity securities in 2016?,63% | 0.63064,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_77.pdf-1
S3_FINHYBRID_GS/2016/page_77.pdf-2,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,"in millions for 2016 2015 , and 2014 , what are total equity securities?",10933 | 10933.0,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_77.pdf-2
S3_FINHYBRID_GS/2016/page_77.pdf-3,3,finhybrid,GS_2016,Nemotron-3-Ultra-550B,hard,operating expenses were what multiple of pre-tax earnings in 2015?,11.52 | 11.52066,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=GS/2016/page_77.pdf-3
S3_FINHYBRID_JKHY/2015/page_20.pdf-2,3,finhybrid,JKHY_2015,Nemotron-3-Ultra-550B,hard,what was the percentage change in the 5 year annual performance of the peer group stock from 2010 to 2011,8.3% | 0.08276,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=JKHY/2015/page_20.pdf-2
S3_FINHYBRID_JKHY/2015/page_20.pdf-3,3,finhybrid,JKHY_2015,Nemotron-3-Ultra-550B,hard,"in 2010 , what was the cumulative total return of the s&p 500?",30.69 | 30.69,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=JKHY/2015/page_20.pdf-3
S3_FINHYBRID_JKHY/2015/page_20.pdf-1,3,finhybrid,JKHY_2015,Nemotron-3-Ultra-550B,hard,"for the 2010 , what was the cumulative total return on jkhy?",27.44 | 27.44,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=JKHY/2015/page_20.pdf-1
