album_id,artist_id,title,release_year,release_date,primary_genre,secondary_genre,album_type,total_tracks,popularity_score
ALB_0066,ART_0262,Time Player,2024,2026-04-27,R&B,Electronic,Live,12,0.066
ALB_0067,ART_0483,Stories Government,2019,2022-09-27,Metal,,EP,8,0.062
ALB_0068,ART_0603,Stand-Alone Needs-Based Moderator,2021,2024-10-19,Rock,,Compilation,14,0.108
ALB_0069,ART_0177,Devolved Motivating Local Area Network,2012,2017-08-04,Metal,Electronic,EP,14,0.063
ALB_0070,ART_0233,Customizable Full-Range Complexity,2024,2026-04-27,Indie,Metal,Studio,12,0.119
ALB_0071,ART_0103,Life Raise,2024,2026-04-27,Indie,,Live,12,0.07
ALB_0072,ART_0593,Light Cultural,2008,2010-07-18,Pop,,Studio,14,0.09
ALB_0073,ART_0627,Digital Green,2024,2026-04-27,Electronic,,Studio,8,0.057
ALB_0074,ART_0437,Edge Out,2019,2024-09-09,Rock,Jazz,Studio,16,0.085
ALB_0075,ART_0053,Time Data,2022,2024-09-01,Metal,Electronic,Studio,12,0.071
ALB_0076,ART_0146,Time Total,2023,2025-12-15,Hip-Hop,Classical,Compilation,10,0.081
ALB_0077,ART_0517,World Into,2024,2026-04-27,Indie,,Live,12,0.059
ALB_0078,ART_0333,Velvet Myself,2024,2026-04-27,Jazz,,Studio,12,0.1
ALB_0079,ART_0120,Open-Architected Static Attitude,2005,2010-10-30,Electronic,,Live,10,0.134
ALB_0080,ART_0146,Stories Challenge,2021,2024-10-01,Hip-Hop,Classical,Studio,12,0.061
ALB_0081,ART_0198,Life Would,2005,2012-01-12,Hip-Hop,Classical,EP,12,0.057
ALB_0082,ART_0449,Fundamental Human-Resource Encoding,2019,2023-07-21,Indie,R&B,Compilation,8,0.055
ALB_0083,ART_0528,Stories Example,2013,2025-10-24,Indie,,Studio,10,0.087
ALB_0084,ART_0351,Innovative Optimal Success,2022,2025-06-18,Indie,,Studio,8,0.083
ALB_0085,ART_0296,Fundamental Solution-Oriented Hierarchy,2017,2024-03-02,Metal,,Studio,12,0.078
ALB_0086,ART_0149,Centralized Static Capability,2023,2025-10-13,R&B,,EP,12,0.061
ALB_0087,ART_0675,Life Collection,2007,2016-03-17,R&B,,Live,8,0.068
ALB_0088,ART_0492,Dreams Morning,2024,2026-04-27,Pop,Metal,Live,12,0.082
ALB_0089,ART_0138,Journey View,2021,2025-06-06,Metal,,Studio,10,0.074
ALB_0090,ART_0450,Journey Foreign,2019,2024-10-08,R&B,,Studio,10,0.403
ALB_0091,ART_0305,Journey Purpose,2020,2025-12-25,Hip-Hop,,Live,10,0.058
ALB_0092,ART_0478,Stories Find,2023,2025-09-07,R&B,,Compilation,14,0.093
ALB_0093,ART_0424,Time Do,2012,2016-12-12,Country,Jazz,Studio,12,0.069
ALB_0094,ART_0381,Devolved Mission-Critical Collaboration,2021,2024-09-06,Electronic,Hip-Hop,Studio,10,0.07
ALB_0095,ART_0609,Journey Police,2006,2015-01-16,R&B,,Studio,10,0.097
ALB_0096,ART_0687,Light Science,2021,2024-12-18,Pop,Electronic,Studio,12,0.093
ALB_0097,ART_0516,Phased Web-Enabled Monitoring,2020,2025-07-11,Pop,,Compilation,10,0.469
ALB_0098,ART_0329,World That,2014,2018-07-02,R&B,Hip-Hop,Studio,14,0.058
ALB_0099,ART_0347,Fully-Configurable Systemic System Engine,2021,2025-02-08,Hip-Hop,,EP,16,0.057
ALB_0100,ART_0635,Journey Store,2023,2025-05-25,Indie,,Studio,10,0.098
ALB_0101,ART_0571,Organized Multi-Tasking Strategy,2021,2024-05-27,Pop,,EP,12,0.081
ALB_0102,ART_0372,Stories Whose,2022,2025-06-12,R&B,Hip-Hop,Studio,14,0.063
ALB_0103,ART_0105,Centralized Neutral Middleware,2024,2026-04-27,Pop,Jazz,Studio,10,0.056
ALB_0104,ART_0022,Life Not,2017,2020-05-14,Country,Indie,Studio,12,0.057
ALB_0105,ART_0611,Inverse Multi-State Intranet,1995,2000-09-09,Electronic,,Live,14,0.151
ALB_0106,ART_0454,Time Describe,2022,2025-10-02,Indie,,Compilation,14,0.06
ALB_0107,ART_0070,Time Middle,2020,2022-09-06,Hip-Hop,,Studio,14,0.065
ALB_0108,ART_0381,Wave Mrs,2019,2023-07-18,Electronic,Hip-Hop,Studio,12,0.061
ALB_0109,ART_0435,Centralized Logistical Capacity,2010,2019-07-03,Jazz,Electronic,Studio,12,0.066
ALB_0110,ART_0291,Persevering Non-Volatile Approach,2023,2025-11-16,Jazz,Pop,Studio,12,0.056
ALB_0111,ART_0256,Synergistic Fault-Tolerant Success,2009,2011-08-24,Indie,,Studio,8,0.076
ALB_0112,ART_0113,Function-Based 24Hour Synergy,1995,2003-08-22,Hip-Hop,Jazz,Live,8,0.056
ALB_0113,ART_0231,Compatible 6Thgeneration Interface,2015,2020-06-01,Electronic,Rock,Studio,14,0.113
ALB_0114,ART_0142,Dreams Attack,2020,2024-06-25,Pop,,Studio,10,0.061
ALB_0115,ART_0437,Centralized Asymmetric Leverage,2014,2016-08-19,Rock,Jazz,Studio,8,0.077
ALB_0116,ART_0370,Thunder Issue,2024,2026-04-27,Rock,Pop,Studio,14,0.143
ALB_0117,ART_0430,Devolved Zero Administration Project,2023,2026-04-19,Jazz,,Studio,10,0.088
ALB_0118,ART_0421,Stand-Alone Intangible Hub,2022,2026-04-21,Rock,,Studio,10,0.077
ALB_0119,ART_0332,Multi-Tiered Local Implementation,1991,2005-09-18,Pop,,Studio,12,0.065
ALB_0120,ART_0396,Forever Result,2014,2025-12-17,Pop,,Studio,8,0.065
ALB_0121,ART_0040,Quality-Focused Client-Driven Projection,2006,2023-10-21,Electronic,Rock,Studio,10,0.09
ALB_0122,ART_0267,Stories By,2021,2023-11-08,Metal,Rock,Studio,16,0.562
ALB_0123,ART_0579,Public-Key Hybrid Moderator,2019,2021-12-14,Electronic,Classical,Studio,12,0.089
ALB_0124,ART_0067,Face-To-Face 24Hour System Engine,2000,2002-11-12,Jazz,,Studio,12,0.079
ALB_0125,ART_0140,Innovative Maximized Service-Desk,2023,2026-01-14,Rock,Hip-Hop,Live,12,0.099
ALB_0126,ART_0438,Storm Language,2024,2026-04-27,Rock,,Studio,10,0.072
ALB_0127,ART_0139,Circuit Than,2013,2017-11-04,Electronic,Country,Compilation,12,0.056
ALB_0128,ART_0646,World Magazine,2014,2019-10-12,Metal,,Studio,12,0.079
ALB_0129,ART_0282,Journey Fact,2009,2014-02-22,Hip-Hop,,Studio,8,0.229
ALB_0130,ART_0581,Up-Sized Well-Modulated Budgetary Management,1997,2000-03-09,Indie,,Studio,8,0.059
ALB_0131,ART_0104,Love Recent,2023,2025-09-26,Pop,,Live,8,0.093
ALB_0132,ART_0384,Visionary 3Rdgeneration Encoding,2019,2022-05-07,R&B,,Studio,10,0.06
ALB_0133,ART_0157,Cross-Platform Radical Alliance,1998,2011-12-04,Country,Pop,Studio,14,0.077
ALB_0134,ART_0483,Time Remember,2023,2026-01-08,Metal,,Studio,12,0.057
ALB_0135,ART_0359,Business-Focused Dynamic Support,2018,2020-07-31,Classical,,Live,8,0.071
ALB_0136,ART_0584,Stories Leg,2020,2023-04-04,Hip-Hop,,Studio,8,0.103
ALB_0137,ART_0270,Midnight Director,1998,2019-12-07,Jazz,Country,Studio,12,0.066
ALB_0138,ART_0381,Vision-Oriented Analyzing Challenge,2022,2025-04-29,Electronic,Hip-Hop,Studio,12,0.089
ALB_0139,ART_0141,Implemented Discrete Superstructure,2022,2025-06-21,Hip-Hop,,Live,8,0.112
ALB_0140,ART_0218,Re-Engineered Radical Throughput,2018,2024-05-09,Metal,,Compilation,12,0.179
ALB_0141,ART_0021,Digital Full,2015,2019-06-13,Electronic,Jazz,Compilation,14,0.061
ALB_0142,ART_0547,Digitized Stable Model,2016,2020-02-01,Jazz,Hip-Hop,Studio,12,0.069
ALB_0143,ART_0255,Forever First,2024,2026-04-27,Pop,R&B,Studio,14,0.059
ALB_0144,ART_0011,World Onto,2020,2026-02-10,R&B,,Compilation,10,0.502
ALB_0145,ART_0537,User-Centric Context-Sensitive Product,2013,2022-10-14,Classical,Electronic,Studio,14,0.179
ALB_0146,ART_0399,Realigned Modular Application,1993,2025-06-17,Country,,Studio,8,0.077
ALB_0147,ART_0255,Light Year,2023,2025-12-17,Pop,R&B,EP,14,0.126
ALB_0148,ART_0667,Multi-Tiered Zero Tolerance Moderator,2011,2017-06-17,Country,Hip-Hop,Studio,10,0.076
ALB_0149,ART_0575,Thunder Keep,2024,2026-04-27,Rock,,Studio,14,0.085
ALB_0150,ART_0437,Innovative Homogeneous Contingency,2017,2024-08-07,Rock,Jazz,EP,12,0.057
ALB_0151,ART_0347,Journey Material,2023,2025-07-23,Hip-Hop,,Studio,8,0.103
ALB_0152,ART_0532,Thunder Down,2020,2023-07-10,Rock,,Studio,8,0.058
ALB_0153,ART_0577,Edge Second,2008,2012-08-17,Rock,Classical,Studio,14,0.12
ALB_0154,ART_0404,Persistent Analyzing Open Architecture,2006,2015-09-30,R&B,,Studio,16,0.109
ALB_0155,ART_0448,Operative Next Generation Moderator,2017,2020-04-03,R&B,,Studio,10,0.095
ALB_0156,ART_0117,Fully-Configurable Eco-Centric Database,2023,2025-08-24,Hip-Hop,,Studio,10,0.055
ALB_0157,ART_0687,Star Bar,2022,2026-03-01,Pop,Electronic,Studio,8,0.064
ALB_0158,ART_0147,Circuit Throw,2009,2016-11-19,Electronic,,Live,12,0.062
ALB_0159,ART_0465,World North,2024,2026-04-27,Country,,Live,12,0.067
ALB_0160,ART_0311,Edge Cut,2019,2021-07-29,Rock,,Studio,8,0.057
ALB_0161,ART_0341,Multi-Tiered Systematic Portal,2017,2023-07-16,Pop,Jazz,Studio,12,0.191
ALB_0162,ART_0227,Compatible Content-Based Website,2022,2025-11-03,Hip-Hop,Pop,Compilation,8,0.078
ALB_0163,ART_0031,Journey Shake,2004,2019-09-30,Indie,,Studio,14,0.064
ALB_0164,ART_0375,Life Director,2022,2025-04-11,Hip-Hop,,Live,8,0.068
ALB_0165,ART_0148,Stories True,2020,2025-12-12,Country,,Live,12,0.071
ALB_0166,ART_0232,Innovative 24/7 Data-Warehouse,2019,2026-01-02,Indie,,Compilation,14,0.083
ALB_0167,ART_0602,Smooth Site,2019,2021-11-26,Jazz,,Studio,12,0.076
ALB_0168,ART_0154,Versatile Mission-Critical Encryption,2016,2023-11-19,Indie,Country,Studio,12,0.171
ALB_0169,ART_0473,Triple-Buffered Demand-Driven Infrastructure,2019,2025-11-22,Electronic,Pop,Studio,14,0.074
ALB_0170,ART_0232,Stories Old,2010,2016-10-26,Indie,,Compilation,10,0.493
ALB_0171,ART_0603,Horizontal Homogeneous Local Area Network,2010,2019-10-16,Rock,,EP,14,0.129
ALB_0172,ART_0039,Edge Her,2018,2022-03-03,Rock,,Studio,14,0.06
ALB_0173,ART_0020,Life Here,2019,2023-11-18,Indie,,Compilation,12,0.183
ALB_0174,ART_0242,Proactive Maximized Attitude,2011,2023-10-03,Hip-Hop,,Studio,12,0.058
ALB_0175,ART_0386,Up-Sized Methodical Task-Force,2023,2026-02-27,Metal,,Studio,10,0.118
ALB_0176,ART_0092,Expanded Holistic Functionalities,2021,2024-07-23,Country,,Studio,14,0.068
ALB_0177,ART_0089,Dreams Order,2023,2026-03-08,Pop,,Studio,10,0.142
ALB_0178,ART_0155,World Site,2022,2024-08-10,Country,,Studio,10,0.137
ALB_0179,ART_0109,Stories Every,2024,2026-04-27,Country,,EP,12,0.115
ALB_0180,ART_0179,Reduced Optimal Success,1997,2010-08-05,Rock,,Studio,12,0.111
ALB_0181,ART_0617,Distributed Dedicated Groupware,2021,2024-01-04,Pop,R&B,Live,8,0.064
ALB_0182,ART_0102,Time Over,2017,2025-02-24,Hip-Hop,,Compilation,10,0.057
ALB_0183,ART_0084,Proactive Neutral Projection,2009,2025-06-21,Pop,Hip-Hop,Live,12,0.069
ALB_0184,ART_0296,Stories Green,2021,2024-02-03,Metal,,Live,10,0.059
ALB_0185,ART_0437,Storm Term,2021,2024-10-13,Rock,Jazz,EP,10,0.093
ALB_0186,ART_0272,Storm Several,2007,2020-03-23,Rock,,Studio,12,0.066
ALB_0187,ART_0060,Thunder Military,2021,2024-09-13,Rock,Indie,Studio,10,0.294
ALB_0188,ART_0559,Time Significant,2024,2026-04-27,Classical,Electronic,Studio,12,0.087
ALB_0189,ART_0344,Down-Sized Client-Driven Success,2024,2026-04-27,Electronic,,Studio,12,0.119
ALB_0190,ART_0657,Stories Create,2008,2024-12-27,Country,,Compilation,12,0.058
ALB_0191,ART_0189,Quality-Focused Secondary Approach,2023,2025-11-03,Pop,,Live,14,0.134
ALB_0192,ART_0460,Compatible Static Application,2022,2025-11-05,Classical,,Studio,10,0.174
ALB_0193,ART_0591,Open-Source Client-Driven Product,2014,2018-08-19,Hip-Hop,,Studio,12,0.074
ALB_0194,ART_0025,Triple-Buffered Coherent Access,2021,2023-12-22,Hip-Hop,,Studio,12,0.083
ALB_0195,ART_0354,Persevering Holistic Approach,2006,2019-06-10,Indie,,Studio,10,0.105
ALB_0196,ART_0267,Synchronized Reciprocal Matrices,2024,2026-04-27,Metal,Rock,Studio,14,0.059
ALB_0197,ART_0082,Ameliorated 24Hour Monitoring,2023,2025-11-13,Classical,,Studio,12,0.075
ALB_0198,ART_0437,Advanced 3Rdgeneration Moderator,2022,2025-10-05,Rock,Jazz,Studio,12,0.069
ALB_0199,ART_0347,Public-Key Executive Adapter,2024,2026-04-27,Hip-Hop,,Compilation,14,0.058
ALB_0200,ART_0437,Total Systematic Internet Solution,2018,2025-02-26,Rock,Jazz,EP,10,0.067
ALB_0201,ART_0357,Enhanced Bi-Directional Attitude,2019,2023-12-10,R&B,Classical,Compilation,16,0.056
ALB_0202,ART_0559,Front-Line Content-Based Process Improvement,2019,2023-12-13,Classical,Electronic,Studio,14,0.055
ALB_0203,ART_0684,Stories Teacher,2023,2025-09-02,R&B,Pop,Studio,12,0.058
ALB_0204,ART_0456,Time Stuff,2014,2020-04-14,R&B,,EP,8,0.244
ALB_0205,ART_0489,Multi-Layered Impactful Knowledgebase,2024,2026-04-27,Pop,R&B,Live,10,0.078
ALB_0206,ART_0424,Journey Same,2006,2012-05-20,Country,Jazz,Compilation,14,0.252
ALB_0207,ART_0138,Synergized Attitude-Oriented Projection,2020,2026-04-14,Metal,,Studio,16,0.07
ALB_0208,ART_0086,Echo Rate,2024,2026-04-27,Rock,,Studio,8,0.064
ALB_0209,ART_0249,Time Better,2024,2026-04-27,Country,,Studio,8,0.075
ALB_0210,ART_0163,Dreams Huge,2013,2021-05-25,Pop,,Live,10,0.071
ALB_0211,ART_0507,Centralized Scalable Access,2019,2024-10-31,Metal,,Studio,12,0.057
ALB_0212,ART_0385,Pulse Beautiful,2008,2018-04-26,Electronic,Hip-Hop,Studio,12,0.087
ALB_0213,ART_0151,Love Leader,2015,2023-02-14,Pop,,Live,8,0.061
ALB_0214,ART_0410,Pulse Glass,2014,2021-12-23,Electronic,Metal,Live,12,0.084
ALB_0215,ART_0476,Cross-Platform Multi-Tasking Analyzer,2024,2026-04-27,Classical,,Compilation,8,0.088
ALB_0216,ART_0068,Wave Wear,2009,2024-05-04,Electronic,Rock,Studio,12,0.059
ALB_0217,ART_0304,Time Very,2007,2018-12-14,R&B,,Compilation,12,0.056
ALB_0218,ART_0282,Time Experience,2014,2016-10-13,Hip-Hop,,Studio,12,0.108
ALB_0219,ART_0463,Compatible Systemic Focus Group,2015,2025-05-30,Electronic,Indie,Live,16,0.072
ALB_0220,ART_0211,Re-Contextualized Stable Alliance,2024,2026-04-27,Country,,Live,12,0.056
ALB_0221,ART_0462,Echo To,2008,2015-05-08,Rock,,Studio,10,0.597
ALB_0222,ART_0305,Life Despite,2023,2025-11-26,Hip-Hop,,EP,12,0.056
ALB_0223,ART_0352,World Soldier,2003,2022-07-21,R&B,Metal,Studio,16,0.093
ALB_0224,ART_0581,Object-Based Asynchronous Framework,2002,2007-11-22,Indie,,Studio,12,0.353
ALB_0225,ART_0603,Front-Line Non-Volatile Info-Mediaries,2004,2019-11-10,Rock,,EP,16,0.062
ALB_0226,ART_0056,Quality-Focused Full-Range Info-Mediaries,2003,2021-03-09,Pop,,Compilation,12,0.058
ALB_0227,ART_0611,Digital Challenge,2017,2024-11-07,Electronic,,Studio,14,0.058
ALB_0228,ART_0064,Wave Risk,2023,2026-01-16,Electronic,,Studio,8,0.064
ALB_0229,ART_0644,Profit-Focused Value-Added Hardware,2001,2004-07-21,Rock,,Live,12,0.057
ALB_0230,ART_0318,Optional Discrete Archive,2018,2022-05-12,Rock,Pop,EP,10,0.093
ALB_0231,ART_0167,Stories Specific,2017,2023-08-13,Country,,Studio,10,0.056
ALB_0232,ART_0370,Edge Physical,2020,2023-11-27,Rock,Pop,Live,12,0.075
ALB_0233,ART_0309,Time Staff,2024,2026-04-27,Metal,R&B,Studio,12,0.73
ALB_0234,ART_0683,Sharable Encompassing Toolset,2023,2026-04-24,R&B,,Studio,10,0.117
ALB_0235,ART_0282,Pre-Emptive Discrete Help-Desk,2015,2022-04-18,Hip-Hop,,Studio,12,0.084
ALB_0236,ART_0453,Light How,1999,2012-02-12,Pop,,Studio,14,0.064
ALB_0237,ART_0687,Synergized Optimal Protocol,2023,2025-09-12,Pop,Electronic,Compilation,12,0.085
ALB_0238,ART_0060,Visionary Regional Frame,2023,2026-02-12,Rock,Indie,Studio,10,0.076
ALB_0239,ART_0352,Time Sell,2020,2022-08-12,R&B,Metal,Studio,14,0.07
ALB_0240,ART_0446,World Executive,2018,2021-03-30,Indie,Hip-Hop,Compilation,12,0.058
ALB_0241,ART_0435,Blue Seek,2015,2024-05-16,Jazz,Electronic,EP,14,0.146
ALB_0242,ART_0351,Stories Class,2024,2026-04-27,Indie,,Studio,12,0.071
ALB_0243,ART_0487,Intuitive High-Level Benchmark,2019,2021-10-10,Classical,,Studio,12,0.06
ALB_0244,ART_0682,Integrated Leadingedge Hierarchy,2012,2023-06-15,R&B,Rock,Studio,12,0.067
ALB_0245,ART_0029,Stories Blue,2022,2024-07-31,Hip-Hop,Jazz,Studio,16,0.069
ALB_0246,ART_0192,Enterprise-Wide Intermediate Knowledge User,2023,2025-11-15,Classical,Indie,Studio,12,0.121
ALB_0247,ART_0133,Circuit Music,2015,2020-12-27,Electronic,,Studio,8,0.099
ALB_0248,ART_0555,Assimilated Background Help-Desk,2022,2025-06-05,Pop,,Studio,12,0.106
ALB_0249,ART_0359,World Picture,2013,2021-11-23,Classical,,Compilation,12,0.055
ALB_0250,ART_0185,Inverse Human-Resource Access,2014,2019-03-28,Country,Hip-Hop,Live,14,0.069
ALB_0251,ART_0188,Light Important,2018,2024-12-28,Pop,,Compilation,10,0.073
ALB_0252,ART_0488,Up-Sized Next Generation Encryption,2015,2022-06-19,Electronic,,Studio,14,0.055
ALB_0253,ART_0554,Life Condition,2014,2023-03-04,Metal,R&B,Studio,14,0.062
ALB_0254,ART_0359,Down-Sized Client-Driven Flexibility,2010,2016-07-13,Classical,,EP,14,0.104
ALB_0255,ART_0064,Digital Mind,2021,2023-10-03,Electronic,,Compilation,8,0.058
ALB_0256,ART_0578,Life Computer,2016,2021-10-18,Indie,,EP,12,0.077
ALB_0257,ART_0438,Operative Exuding Matrices,2022,2025-11-19,Rock,,Compilation,12,0.061
ALB_0258,ART_0414,Multi-Lateral Eco-Centric Encryption,2021,2025-06-25,Hip-Hop,,Studio,8,0.055
ALB_0259,ART_0437,Thunder Mission,2022,2025-07-04,Rock,Jazz,EP,8,0.062
ALB_0260,ART_0132,Exclusive Logistical Benchmark,2017,2020-04-07,Hip-Hop,,Compilation,14,0.296
ALB_0261,ART_0352,Life According,2021,2026-03-01,R&B,Metal,Studio,16,0.113
ALB_0262,ART_0291,Managed Regional Implementation,2021,2025-09-24,Jazz,Pop,Studio,10,0.234
ALB_0263,ART_0194,Thunder Girl,2022,2025-03-13,Rock,,Studio,10,0.074
ALB_0264,ART_0216,Optional Solution-Oriented Policy,2024,2026-04-27,Rock,,Studio,12,0.057
ALB_0265,ART_0237,Inverse Real-Time Solution,2010,2015-02-17,Country,,Studio,8,0.078
ALB_0266,ART_0385,Pulse Former,2007,2012-05-03,Electronic,Hip-Hop,EP,8,0.072
ALB_0267,ART_0433,World Information,2021,2026-03-23,Hip-Hop,Pop,EP,14,0.127
ALB_0268,ART_0202,Implemented User-Facing Solution,2008,2020-06-11,Indie,R&B,Studio,12,0.057
ALB_0269,ART_0418,Revolution Parent,2016,2024-07-28,Rock,,Studio,14,0.074
ALB_0270,ART_0487,Stories Gas,2022,2025-01-25,Classical,,Studio,10,0.059
ALB_0271,ART_0258,Object-Based High-Level Budgetary Management,2004,2024-12-16,Metal,Indie,Studio,8,0.065
ALB_0272,ART_0010,Blue Decision,2020,2024-09-08,Jazz,,Live,10,0.1
ALB_0273,ART_0309,Quality-Focused Contextually-Based Software,2024,2026-04-27,Metal,R&B,Studio,8,0.073
ALB_0274,ART_0335,Edge Agreement,2001,2025-03-28,Rock,,Studio,14,0.067
ALB_0275,ART_0149,Time Main,2023,2026-04-06,R&B,,Compilation,10,0.068
