album_id,artist_id,title,release_year,genre,total_tracks
95,95,Scattered,2024,Hip-Hop,10
96,96,Blinding Vol. I,2019,Rock,7
97,97,Fragments & Vaults,1996,Hip-Hop,14
98,98,Under Silent Margins,2022,Jazz,8
99,99,Golden Contours Sessions,2021,Rock,6
100,100,Vaults of Ruins,2018,Rock,8
101,101,The Restless Mirrors Vol. II,2024,Pop,7
102,102,The Shattered Contours Revisited,2020,Classical,10
103,103,Currents & Undertones,2023,Folk,7
104,104,Weightless Revisited,2024,Pop,5
105,105,Velvet Vol. I,2012,Jazz,11
106,106,The Weightless Contours (Deluxe),2019,Classical,8
107,107,Under Drifting Echoes,2022,R&B,19
108,108,Distant Resonance Revisited,2019,Pop,9
109,109,Endless Signals Revisited,2011,Electronic,12
110,110,Trembling Signals,2001,Country,7
111,111,Under Scattered Frequencies,2000,Classical,9
112,112,Under Drifting Pulses,2017,R&B,6
113,113,Static (Deluxe),1997,Rock,10
114,114,Vanished Contours Vol. II,1995,Classical,8
115,115,Burning Margins,2020,R&B,7
116,116,Tides & Drifts,2021,Folk,11
117,117,The Silver Spectra,2022,R&B,8
118,118,The Silent Embers Sessions,2011,Rock,11
119,119,Resonance & Frequencies,2018,Metal,7
120,120,Distant Vol. I,2017,Classical,8
121,121,Muted,2017,Jazz,3
122,122,The Pale Pulses,2020,R&B,6
123,123,Undertones of Echoes,2005,Jazz,14
124,124,Fading Vol. II,2018,Folk,10
125,125,Hollow Revisited,1996,Hip-Hop,11
126,126,Bridges of Shadows,2017,Pop,14
127,127,Drifting Vol. I,2013,R&B,12
128,128,Burning Spectra,2014,Country,9
129,129,The Trembling Overtones Sessions,2010,Folk,9
130,130,Echoes & Spectra,2014,Country,14
131,131,Spectra of Currents,2009,Rock,12
132,132,The Restless Tides,2021,Jazz,17
133,133,The Blinding Resonance Vol. II,2024,Classical,13
134,134,Pale Bridges Sessions,2017,Electronic,9
135,135,Under Fading Pulses,2018,Classical,10
136,136,Blinding,2020,Rock,7
137,137,Margins of Shadows,2020,Pop,14
138,138,Silver Vaults,2008,Pop,15
139,139,Intervals & Undertones,2016,Electronic,12
140,140,Under Fading Undertones,2016,Metal,10
141,141,Drifting Currents (Deluxe),2010,Metal,9
142,142,The Frozen Contours Vol. II,2022,R&B,13
143,143,The Static Archives Revisited,2007,Classical,11
144,144,Blinding Intervals,2020,Classical,14
145,145,Shadows of Shadows,2003,Folk,13
146,146,The Fading Flickers Revisited,2009,Rock,13
147,147,Orbits of Fragments,2022,Electronic,9
148,148,Distant Tides,2022,Folk,8
149,149,Undertones & Currents,1998,Pop,11
150,150,The Distant Bridges Vol. II,2009,Jazz,14
151,151,Under Vanished Drifts,2015,Metal,13
152,152,Neon Shadows Vol. I,2023,Pop,11
153,153,Glowing Intervals Vol. I,2019,Folk,12
154,154,Pale Vaults Vol. II,2022,Jazz,11
155,155,Weightless Overtones EP,2010,Rock,10
156,156,Under Burning Bridges,2021,R&B,14
157,157,The Broken Currents,2023,Rock,13
158,158,The Endless Currents Vol. II,2006,Rock,8
159,159,Mirrors & Margins,2024,Country,7
160,160,Under Glowing Embers,2022,Folk,10
161,161,Broken Ruins,2019,Country,11
162,162,Resonance & Intervals,2019,Rock,9
163,163,Thresholds & Fragments,2008,R&B,13
164,164,Intervals of Signals,2004,Folk,9
165,165,Intervals & Flickers,2001,Hip-Hop,12
166,166,Restless,2007,Hip-Hop,10
167,167,Ruins & Margins,2022,Hip-Hop,8
168,168,Circuits of Archives,2020,Folk,10
169,169,The Restless Orbits,2018,Classical,11
170,170,Horizons & Spectra,2019,Hip-Hop,18
171,171,The Muted Contours,2017,Jazz,16
172,172,Under Neon Margins,2018,Pop,10
173,173,Embers of Thresholds,2021,Electronic,7
174,174,Resonance & Flickers,2021,Metal,10
175,175,The Drifting Ruins,2007,Hip-Hop,14
176,176,Signals of Flickers,2016,Jazz,8
177,177,Distant (Deluxe),2022,Electronic,10
178,178,Under Fading Contours,2020,R&B,10
179,179,Frozen Flickers EP,2015,Folk,10
180,180,Spectra of Shadows,2021,Rock,14
181,181,The Static Pulses Vol. I,2021,Country,11
182,182,Intervals of Echoes,2013,Jazz,16
183,183,Pulses of Reverb,2014,Jazz,7
184,184,Wavelengths & Vaults,2009,Pop,10
185,185,Silver Currents,2011,Pop,6
186,186,Drifts of Contours,2022,Folk,10
187,187,Frozen Vol. II,2017,Pop,9
188,188,Archives of Flickers,2024,Country,6
189,189,The Frozen Tides (Deluxe),1998,Classical,7
190,190,Vaults & Spectra,2021,Rock,8
191,191,Weightless Signals Vol. I,2004,Metal,8
192,192,Thresholds & Wavelengths,2013,Pop,6
193,193,Under Shattered Frequencies,2024,Folk,9
194,194,Scattered Margins (Deluxe),2022,Hip-Hop,8
195,195,Pale Echoes,1995,Country,6
196,196,Reverb & Horizons,2021,R&B,7
197,197,Mirrors of Drifts,2011,Electronic,12
198,198,Under Velvet Fragments,2023,Jazz,5
199,199,The Drifting Pulses Vol. II,2022,Country,13
200,200,Weightless Intervals,2013,Classical,10
201,201,Under Endless Orbits,2007,R&B,10
202,202,Embers of Embers,2003,Country,13
203,203,Wavelengths of Wavelengths,1997,Pop,5
204,204,Under Silver Wavelengths,2024,Hip-Hop,8
205,205,The Frozen Fragments,2009,Classical,19
206,206,Golden Pulses (Deluxe),2012,Rock,15
207,207,Fragments of Intervals,2022,Hip-Hop,7
208,208,Under Fading Archives,2017,R&B,12
209,209,Frequencies & Dissonance,2009,Hip-Hop,7
210,210,Under Velvet Resonance,2016,Jazz,14
211,211,Wavelengths of Ruins,2020,Hip-Hop,9
212,212,Under Distant Pulses,1999,Country,19
213,213,Horizons & Mirrors,2005,Metal,9
214,214,Velvet Frequencies,2024,Country,16
215,215,Glowing,2022,Rock,7
216,216,Velvet (Deluxe),2019,Folk,7
217,217,Under Trembling Spectra,2022,Rock,18
218,218,Under Velvet Circuits,2014,Electronic,10
219,219,The Velvet Fragments (Deluxe),2024,Metal,13
220,220,Frozen Tides (Deluxe),2001,Hip-Hop,10
221,221,The Fading Contours EP,2015,Pop,9
222,222,Endless Revisited,2010,Folk,8
223,223,Trembling (Deluxe),2022,Classical,12
224,224,The Distant Archives,2020,Country,8
225,225,Echoes & Currents,2013,Jazz,6
226,226,Under Pale Bridges,2017,Jazz,14
227,227,Under Weightless Undertones,2019,Rock,12
228,228,Vanished EP,2011,Hip-Hop,13
229,229,Under Silver Currents,2022,Metal,11
230,230,Under Blinding Echoes,2024,Metal,12
231,231,Under Crimson Vaults,2019,R&B,14
232,232,Resonance of Reverb,2018,Rock,19
233,233,Dissonance & Echoes,2009,Classical,12
234,234,Scattered Dissonance,2024,Rock,6
235,235,The Crimson Wavelengths Sessions,2024,Rock,9
236,236,Dissonance & Flickers,2024,Folk,11
237,237,Vaults of Bridges,2022,Jazz,11
238,238,The Crimson Resonance,2009,Folk,11
239,239,Under Frozen Contours,2023,Metal,13
240,240,Under Vanished Bridges,2005,Jazz,13
241,241,Ruins of Ruins,2020,Folk,14
242,242,Resonance of Horizons,2014,Folk,7
243,243,Hollow,2018,Pop,8
244,244,Dissonance of Signals,2019,Metal,10
245,245,The Trembling Fragments,2024,Jazz,7
246,246,Orbits of Circuits,2013,Metal,11
247,247,Under Drifting Currents,2020,R&B,13
248,248,Wavelengths of Overtones,2022,Country,9
249,249,Fading Drifts,2023,Metal,9
250,250,Thresholds & Circuits,2005,R&B,9
251,149,Blinding Dissonance,2018,Pop,15
252,249,Drifting Revisited,2023,Metal,9
253,92,Vanished Orbits,2022,Hip-Hop,9
254,212,The Shattered Currents Vol. I,2021,Country,7
255,73,Contours & Archives,1999,Country,9
256,145,Restless Revisited,2019,Folk,8
257,13,Silver Reverb (Deluxe),2003,Classical,9
258,32,The Scattered Thresholds,2018,Electronic,10
259,52,Spectra of Signals,2021,Country,14
260,41,Shadows & Reverb,2007,Classical,7
261,65,Frozen Pulses Revisited,2019,R&B,9
262,14,Flickers of Undertones,2009,Country,12
263,110,Shadows of Flickers,1998,Country,15
264,1,The Shattered Shadows,2013,Rock,8
265,58,Under Static Thresholds,2013,Electronic,4
266,3,Fragments of Resonance,2001,R&B,8
267,221,Trembling,2010,Pop,13
268,19,The Fading Shadows,1998,R&B,18
269,81,Overtones & Ruins,2002,Rock,11
270,98,The Drifting Pulses,2022,Jazz,6
271,136,Under Neon Intervals,2015,Rock,10
272,43,Frozen,2024,Classical,6
273,192,The Endless Intervals Revisited,2017,Pop,11
274,221,The Distant Overtones,1999,Pop,9
275,193,Muted Margins Vol. II,2020,Folk,11
276,247,The Golden Reverb,2014,R&B,10
277,142,Under Glowing Margins,2018,R&B,11
278,200,Tides of Dissonance,2020,Classical,9
279,225,Embers & Drifts,2019,Jazz,11
280,131,The Weightless Orbits,2009,Rock,20
281,201,The Shattered Orbits,2014,R&B,5
282,128,Intervals of Shadows,2019,Country,8
283,228,Frozen Spectra Vol. I,2012,Hip-Hop,12
284,100,Under Endless Frequencies,2024,Rock,11
285,175,The Blinding Circuits,1999,Hip-Hop,10
286,151,Neon Currents,2003,Metal,7
287,237,Flickers of Drifts,2024,Jazz,7
288,107,Trembling Vol. II,2008,R&B,14
289,164,Under Vanished Intervals,1999,Folk,10
290,72,Pale Shadows EP,2019,Folk,13
291,250,The Vanished Fragments Vol. II,2013,R&B,16
292,163,Pale Flickers Vol. II,2018,R&B,7
293,245,The Hollow Mirrors,2021,Jazz,10
294,30,Glowing Sessions,2021,Country,11
295,80,Margins of Pulses,2018,Country,13
296,45,Neon Flickers,2019,Pop,7
297,3,The Shattered Frequencies EP,2014,R&B,15
298,201,Currents of Bridges,2018,R&B,13
299,33,Undertones of Dissonance,2014,Rock,9
300,188,Blinding Overtones,2023,Country,10
301,207,Golden EP,2019,Hip-Hop,9
302,68,Archives of Reverb,2015,Metal,8
303,128,Shattered Dissonance Sessions,2013,Country,12
304,95,The Golden Undertones,2023,Hip-Hop,10
305,173,Horizons of Mirrors,2019,Electronic,10
306,131,Hollow Dissonance,2015,Rock,11
307,12,The Velvet Spectra,2016,Hip-Hop,11
308,206,Margins of Reverb,2009,Rock,10
309,58,Mirrors & Vaults,2024,Electronic,8
310,82,Resonance & Shadows,2013,Metal,12
311,96,Burning Pulses,2018,Rock,12
312,58,Under Hollow Orbits,2014,Electronic,6
313,225,Pale,2015,Jazz,12
314,23,Under Scattered Tides,2006,Metal,9
315,52,Archives & Wavelengths,2021,Country,11
316,190,Under Silent Thresholds,2023,Rock,10
317,152,Overtones of Contours,2018,Pop,11
318,39,Endless Tides,2020,Classical,9
319,163,Overtones of Tides,2005,R&B,14
320,1,Orbits of Dissonance,2018,Rock,8
321,187,Horizons & Embers,2019,Pop,11
322,61,Shattered,2022,Rock,8
323,183,Shadows & Echoes,2009,Jazz,14
324,230,Under Endless Flickers,2022,Metal,12
325,118,Shadows of Archives,1998,Rock,8
326,130,The Drifting Resonance Vol. II,2014,Country,10
327,152,Under Hollow Vaults,2017,Pop,6
328,61,Currents & Dissonance,2023,Rock,17
329,238,Trembling Vol. I,2018,Folk,6
330,116,Mirrors & Shadows,2014,Folk,9
331,35,Under Silver Signals,2012,Classical,7
332,43,Scattered Vol. I,2017,Classical,8
333,31,Under Frozen Undertones,2019,Metal,7
334,116,Thresholds & Currents,2011,Folk,11
335,24,The Static Ruins Sessions,2017,Jazz,7
336,56,Signals & Shadows,2022,Metal,16
337,64,Orbits & Drifts,2007,Pop,9
338,174,Currents & Resonance,2022,Metal,12
339,8,Scattered EP,2023,Country,8
340,64,Scattered Horizons,2009,Pop,10
341,4,Blinding Mirrors,2013,Metal,13
342,211,Frozen Revisited,2021,Hip-Hop,13
343,241,Neon Shadows,2022,Folk,10
344,114,The Distant Overtones Vol. I,1998,Classical,8
345,11,Under Endless Resonance,2021,Rock,8
346,102,Neon Vol. II,2020,Classical,10
347,110,The Frozen Embers,2003,Country,10
348,72,Under Glowing Intervals,2019,Folk,6
349,166,Circuits & Vaults,2023,Hip-Hop,10
350,141,Orbits & Signals,2008,Metal,18
351,52,Overtones of Wavelengths,2020,Country,5
352,162,Under Neon Orbits,2018,Rock,8
353,123,Under Burning Fragments,2015,Jazz,7
354,70,The Neon Fragments Sessions,2002,Pop,11
355,8,Echoes & Wavelengths,2022,Country,20
356,136,Undertones & Archives,2002,Rock,9
357,250,The Silver Mirrors Revisited,2002,R&B,6
358,69,Under Weightless Echoes,2019,Country,7
359,148,The Silent Archives Vol. I,2024,Folk,16
360,179,Spectra & Archives,1996,Folk,5
361,181,Frequencies of Archives,2024,Country,5
362,37,Under Crimson Resonance,2022,Pop,10
363,226,Vanished,2008,Jazz,11
364,126,Distant Echoes,2019,Pop,11
365,57,Burning Circuits,2020,Electronic,12
366,235,Under Crimson Wavelengths,2015,Rock,8
367,88,Bridges of Spectra,2022,R&B,15
368,16,Broken Archives,2014,Metal,8
369,217,Under Frozen Shadows,2023,Rock,14
370,181,Orbits of Archives,2020,Country,8
371,87,Fragments & Signals,2000,Classical,13
372,188,Drifting (Deluxe),2024,Country,6
373,82,The Trembling Contours Sessions,2020,Metal,9
374,92,The Static Archives,2022,Hip-Hop,16
375,79,Flickers of Ruins,2018,Metal,4
376,46,Tides of Flickers,2022,Country,9
377,101,Under Hollow Bridges,2016,Pop,11
378,236,Under Silent Reverb,2024,Folk,7
379,27,Broken Vol. I,2018,Country,10
380,20,Overtones of Shadows,2024,Electronic,11
381,182,Reverb of Margins,2023,Jazz,12
382,86,Neon,2009,Folk,12
383,64,Shadows of Frequencies,2014,Pop,7
384,202,Weightless Tides,2007,Country,9
385,113,Shattered Vol. II,2008,Rock,6
386,140,Silver (Deluxe),2023,Metal,8
387,222,Under Drifting Undertones,2016,Folk,11
388,58,The Scattered Shadows,2017,Electronic,10
389,6,Currents & Horizons,2020,R&B,14
390,88,The Fading Bridges,2024,R&B,6
391,242,Restless Intervals Sessions,2019,Folk,12
392,181,Endless Reverb,2024,Country,14
393,228,Restless Embers,2021,Hip-Hop,7
394,179,Under Weightless Spectra,2019,Folk,10
395,139,Pulses & Ruins,2006,Electronic,13
396,61,Hollow Orbits Sessions,2024,Rock,9
397,216,Tides & Vaults,2001,Folk,13
398,76,Reverb of Intervals,2020,R&B,10
399,52,Neon Embers,2021,Country,9
400,21,Silver,2023,R&B,12
401,121,Drifting Contours Vol. II,2000,Jazz,11
402,95,The Golden Archives,2020,Hip-Hop,17
403,193,Pulses of Horizons,2011,Folk,16
404,172,Wavelengths & Contours,2017,Pop,11
405,249,Under Silent Contours,2012,Metal,8
406,216,Burning Vol. II,2016,Folk,10
407,176,Under Muted Overtones,2019,Jazz,8
408,205,Under Static Intervals,1999,Classical,11
409,31,The Crimson Signals,2022,Metal,7
410,21,Vaults of Embers,2021,R&B,9
411,214,Under Golden Fragments,2021,Country,7
412,23,Vanished Vol. II,2012,Metal,8
413,84,Drifts & Thresholds,2021,Electronic,8
414,202,Intervals of Archives,2011,Country,9
415,201,Silver Vol. II,2011,R&B,14
416,38,Under Muted Archives,2005,Folk,18
417,237,Muted Undertones,2024,Jazz,9
418,74,Under Frozen Overtones,2023,Rock,11
419,68,Under Glowing Circuits,2014,Metal,14
420,45,Under Glowing Pulses,2019,Pop,7
421,103,Fading Overtones Vol. I,2019,Folk,9
422,61,Weightless Circuits,2023,Rock,12
423,6,Resonance & Wavelengths,2022,R&B,6
424,80,Resonance & Circuits,2022,Country,4
425,179,Horizons of Dissonance,2003,Folk,11
426,35,Margins & Thresholds,2019,Classical,8
427,69,Vaults of Intervals,2017,Country,13
428,49,Crimson Vol. II,2018,Folk,14
429,125,Under Frozen Resonance,1997,Hip-Hop,7
430,132,The Distant Ruins EP,2018,Jazz,10
431,35,Under Muted Tides,2014,Classical,9
432,50,Hollow Vol. I,2017,Jazz,11
433,51,Frequencies & Resonance,2011,Country,14
434,130,Tides of Mirrors,2018,Country,10
435,126,Under Scattered Bridges,2023,Pop,12
436,122,Under Vanished Frequencies,2011,R&B,8
437,42,Margins & Resonance,2023,Jazz,5
438,24,Tides & Orbits,2017,Jazz,8
439,42,Under Blinding Embers,2008,Jazz,9
440,166,The Static Embers,2015,Hip-Hop,9
441,105,Under Neon Dissonance,2007,Jazz,13
442,122,The Drifting Bridges Sessions,2000,R&B,9
443,58,Intervals & Wavelengths,2017,Electronic,11
444,183,Reverb of Currents,2015,Jazz,11
445,230,Frozen (Deluxe),2021,Metal,12
446,56,Pale Revisited,2016,Metal,12
447,212,Neon Drifts Revisited,2021,Country,11
448,215,Contours & Reverb,2020,Rock,9
449,77,Horizons of Circuits,1997,Folk,13
450,87,Reverb & Fragments,2022,Classical,7
451,71,Reverb & Flickers,2019,Electronic,9
452,77,The Broken Drifts,2023,Folk,13
453,15,Pulses & Signals,2023,Pop,12
454,7,Circuits of Ruins,2003,R&B,6
455,233,Echoes of Archives,2017,Classical,8
456,147,The Restless Margins,2024,Electronic,12
457,164,Static Vol. I,2011,Folk,7
458,77,The Static Overtones EP,2000,Folk,10
459,76,Shattered Signals,2024,R&B,9
460,207,The Static Overtones Vol. I,2024,Hip-Hop,12
461,23,The Frozen Mirrors,2008,Metal,6
462,202,Frequencies & Currents,2013,Country,12
463,76,Drifting Archives Sessions,2022,R&B,7
464,19,Crimson EP,1998,R&B,8
465,223,Orbits of Drifts,2016,Classical,6
466,106,Broken Signals,2020,Classical,10
467,105,Under Scattered Signals,2017,Jazz,8
468,221,Bridges of Undertones,1997,Pop,10
469,125,Reverb & Bridges,2006,Hip-Hop,15
470,163,Neon Thresholds,2001,R&B,7
471,195,The Muted Undertones,2010,Country,5
472,202,Broken Intervals Vol. II,2015,Country,9
473,110,Endless (Deluxe),2007,Country,12
474,2,Vanished Embers Vol. I,2020,Electronic,12
475,229,Undertones & Resonance,2020,Metal,12
476,5,Tides of Reverb,2020,Rock,11
477,64,The Trembling Overtones Vol. I,2015,Pop,15
478,34,Fading Drifts Sessions,2006,Hip-Hop,9
479,43,Hollow Ruins,2018,Classical,8
480,187,Under Glowing Drifts,2013,Pop,8
481,112,Signals of Fragments,2013,R&B,12
482,92,The Velvet Spectra Vol. II,2016,Hip-Hop,14
483,59,The Weightless Signals,2021,Metal,13
484,151,Under Velvet Horizons,2013,Metal,7
485,183,Wavelengths of Echoes,2014,Jazz,9
486,225,Currents of Undertones,2018,Jazz,4
487,160,Glowing Echoes Revisited,2011,Folk,9
488,168,Hollow Flickers,2008,Folk,8
489,114,Silver EP,2003,Classical,10
490,122,Signals of Embers,2022,R&B,5
491,176,Tides of Ruins,2016,Jazz,6
492,170,Static Drifts,2019,Hip-Hop,12
493,156,Signals of Vaults,2012,R&B,9
494,131,Intervals of Horizons,2017,Rock,6
495,30,Shattered Embers Sessions,2022,Country,11
496,200,Resonance & Drifts,2005,Classical,17
497,92,The Hollow Contours (Deluxe),2019,Hip-Hop,13
498,177,Neon Pulses,2010,Electronic,7
499,214,Under Static Circuits,2022,Country,10
500,244,Blinding Drifts,2023,Metal,11
501,186,Golden Reverb,2024,Folk,12
502,76,Thresholds & Echoes,2014,R&B,8
503,209,The Hollow Dissonance,2006,Hip-Hop,7
504,206,Fragments of Vaults,2019,Rock,16
505,30,Broken Pulses Revisited,2022,Country,11
506,85,Overtones & Thresholds,2015,R&B,9
507,69,Bridges & Horizons,2022,Country,14
508,103,Golden Vol. II,2019,Folk,5
509,218,The Silver Signals,2023,Electronic,12
510,41,Endless Spectra Sessions,2011,Classical,7
511,206,The Glowing Orbits Vol. I,2015,Rock,16
512,8,Overtones of Resonance,2017,Country,3
513,124,Trembling Dissonance Revisited,2017,Folk,10
514,197,Archives of Margins,2024,Electronic,11
515,58,Dissonance of Fragments,2021,Electronic,16
516,134,Flickers of Intervals,2015,Electronic,6
517,111,Margins of Mirrors,2014,Classical,11
518,89,Broken EP,2016,Country,12
519,14,Drifting Spectra,2018,Country,8
520,218,Blinding Circuits Vol. I,2013,Electronic,10
521,85,Echoes & Drifts,2003,R&B,7
522,141,Orbits of Orbits,2021,Metal,11
523,61,Scattered Thresholds Sessions,2023,Rock,15
524,23,Shattered Margins Revisited,1995,Metal,10
525,27,Endless,2012,Country,8
526,141,Distant Wavelengths Sessions,2014,Metal,8
527,164,Overtones & Drifts,2012,Folk,10
528,53,Pulses of Thresholds,2015,Rock,10
529,94,Silent Dissonance (Deluxe),2019,Electronic,14
530,144,Pulses of Frequencies,2024,Classical,11
531,30,Blinding Pulses,2021,Country,6
532,88,Resonance & Reverb,2022,R&B,8
533,141,Under Frozen Flickers,1998,Metal,10
534,12,The Shattered Signals Vol. II,2002,Hip-Hop,8
535,66,Under Crimson Embers,1998,Country,10
536,239,Crimson (Deluxe),2022,Metal,11
537,184,Horizons & Undertones,2019,Pop,21
538,12,Resonance of Pulses,2017,Hip-Hop,10
539,32,Scattered Revisited,2023,Electronic,9
540,245,Under Broken Circuits,2018,Jazz,12
541,136,Echoes of Contours,2024,Rock,9
542,111,Under Shattered Spectra,2015,Classical,7
543,200,The Trembling Archives,2022,Classical,7
544,209,The Silver Orbits Revisited,2014,Hip-Hop,11
545,156,Drifts & Overtones,2021,R&B,15
546,108,Under Trembling Undertones,2020,Pop,10
547,71,Glowing EP,2008,Electronic,5
548,216,Contours of Dissonance,2009,Folk,11
549,183,Spectra of Contours,2022,Jazz,12
550,56,The Crimson Intervals,2021,Metal,11
551,89,Bridges of Drifts,2014,Country,9
552,178,Fragments of Flickers,2013,R&B,11
553,195,Contours & Circuits,2013,Country,11
554,147,Flickers of Vaults,2024,Electronic,8
555,74,Neon EP,2022,Rock,10
556,7,Echoes of Embers,2003,R&B,13
557,193,The Hollow Flickers,2015,Folk,14
558,193,Under Hollow Frequencies,2023,Folk,8
559,27,Under Static Margins,2012,Country,9
560,222,The Weightless Reverb EP,2007,Folk,9
561,61,Under Trembling Ruins,2024,Rock,10
562,171,Fading Orbits Vol. II,2021,Jazz,10
563,250,Fragments of Contours,1996,R&B,12
564,4,Currents of Embers,2021,Metal,6
565,213,The Drifting Flickers Revisited,2007,Metal,8
566,194,Under Vanished Margins,2020,Hip-Hop,10
567,199,Embers of Ruins,2022,Country,5
568,46,Shadows of Bridges,2009,Country,8
569,189,Under Silver Orbits,1996,Classical,15
570,110,Contours & Currents,1999,Country,16
571,42,Under Golden Tides,2011,Jazz,12
572,120,Broken Spectra Vol. I,2024,Classical,11
573,14,Intervals of Resonance,2023,Country,15
574,78,Muted EP,2006,Electronic,8
575,19,Fragments of Drifts,2002,R&B,11
576,245,The Burning Shadows EP,2019,Jazz,8
577,107,Under Vanished Orbits,2008,R&B,9
578,90,The Crimson Pulses Vol. I,2015,Rock,9
579,93,Embers & Undertones,2021,Metal,15
580,136,Silver Pulses Vol. I,2009,Rock,12
581,62,Intervals of Spectra,2022,Folk,9
582,246,Static Overtones Vol. I,2021,Metal,10
583,235,Fading Currents EP,2024,Rock,7
584,73,Burning Resonance Vol. I,2011,Country,7
585,206,Under Scattered Circuits,1997,Rock,10
586,76,Embers of Fragments,2021,R&B,7
587,22,Velvet Undertones EP,2017,Hip-Hop,13
588,2,Shadows of Embers,2021,Electronic,7
589,222,Vaults of Resonance,1998,Folk,12
590,53,Under Trembling Overtones,2018,Rock,9
591,166,Weightless Pulses,1995,Hip-Hop,10
592,118,Fragments of Echoes,1997,Rock,9
593,19,Velvet Wavelengths,2012,R&B,11
