no,question_id,dataset,difficulty,failure_type,question,ground_truth,llm_answer,doc_name,response,context_snippet,model,prompt_strategy
11,S3_TATHYBRID_3ead03b4712e86e15034c9fabc0f1b9b,tathybrid,hard,WRONG,What is the average value of trade names for both 2018 and 2019?,2248,"To determine the average value of trade names for 2018 and 2019, we look at the ""Issuer Purchases of Equity Securities"" table provided in the context, which lists the ""Average price paid per share"" for the share repurchase programs during those years.

1.  For Fiscal Year 2018, the average price paid per share was $6.33.
2.  For Fiscal Year 2019, the average price paid per share was $2.55.
3.  The average of these two values is ($6.33 + $2.55) / 2 = $8.88 / 2 = $4.44.

The answer is: 4.44",lifeway-foods-inc_2019,The answer is: Not available,"Plans or 
Programs  
($ in 
thousands)    
                          
1/1/2018 to 1/31/2018      106,441      $ 8.22       106,441      $ 5,007    
2/1/2018 to 2/28/2018      24,486      $ 7.21       24,486      $ 4,830    
4/1/2018 to 4/30/2018      15,433      $ 6.09       15,433      $ 4,736    
",mistral-small-2603,simple
12,S3_TATHYBRID_30e01bc5c375a0ca44ab4c0dd14e5e1e,tathybrid,hard,REFUSED,What is the value of vehicles in 2018 and 2019 respectively?,"937, 778","The provided report does not contain information regarding the value of vehicles.

The answer is: Not available",lifeway-foods-inc_2019,,"Plans or 
Programs  
($ in 
thousands)    
                          
1/1/2018 to 1/31/2018      106,441      $ 8.22       106,441      $ 5,007    
2/1/2018 to 2/28/2018      24,486      $ 7.21       24,486      $ 4,830    
4/1/2018 to 4/30/2018      15,433      $ 6.09       15,433      $ 4,736    
",mistral-small-2603,simple
13,S3_TATHYBRID_fe59aeaff2948f598d69f262c6464889,tathybrid,hard,REFUSED,What is the average value of vehicles for 2018 and 2019?,857.5,"[Assistant]: The provided report does not contain information regarding the value of vehicles.

The answer is: Not available",lifeway-foods-inc_2019,The answer is: Not available,"Plans or 
Programs  
($ in 
thousands)    
                          
1/1/2018 to 1/31/2018      106,441      $ 8.22       106,441      $ 5,007    
2/1/2018 to 2/28/2018      24,486      $ 7.21       24,486      $ 4,830    
4/1/2018 to 4/30/2018      15,433      $ 6.09       15,433      $ 4,736    
",mistral-small-2603,simple
14,S3_TATHYBRID_f4c8e2d0155ac338249d0fe6feba49ac,tathybrid,hard,WRONG,What was the low sale price per share for each quarters in 2018 in chronological order?,"$ 5.99, $ 4.79, $ 2.66, $ 1.88","[Assistant]: Based on the provided table of share repurchase programs for 2018, the prices per share listed in chronological order are: $8.22, $7.21, $6.09, $5.46, $3.96, $3.35, $2.99, and $2.25.

The answer is: $8.22, $7.21, $6.09, $5.46, $3.96, $3.35, $2.99, $2.25",lifeway-foods-inc_2019,"The answer is: $8.22, $7.21, $6.09, $5.46, $3.96, $3.35, $2.99, $2.25","Plans or 
Programs  
($ in 
thousands)    
                          
1/1/2018 to 1/31/2018      106,441      $ 8.22       106,441      $ 5,007    
2/1/2018 to 2/28/2018      24,486      $ 7.21       24,486      $ 4,830    
4/1/2018 to 4/30/2018      15,433      $ 6.09       15,433      $ 4,736    
",mistral-small-2603,simple
15,S3_TATHYBRID_719ef48aead1f283a692fedbeae4622a,tathybrid,hard,REFUSED,What is the value of customer relationships in 2018 and 2019 respectively?,"985, 985","The provided text does not contain information regarding the specific value of customer relationships for the years 2018 and 2019.

The answer is: Not mentioned",lifeway-foods-inc_2019,The answer is: Not available,"and results of operations.  
  
Customers, such as supermarkets and food distributors, cont inue to consolidate. This consolidation has produced 
larger, more sophisticated organizations with increased negotiating and buying power that are able to resist price 
increases or demand increased promotio",mistral-small-2603,simple
16,S3_TATHYBRID_83cb95ba9efedd8346b5f66758f4ab85,tathybrid,hard,REFUSED,What is the value of buildings and improvements in 2018 and 2019 respectively?,"17,520, 17,332","The provided annual report context does not break down the ""Property, plant and equipment"" line item into specific categories such as buildings and improvements. Therefore, the value of buildings and improvements cannot be determined from the provided text.

The answer is: Not available",lifeway-foods-inc_2019,The answer is: Not available,"Plans or 
Programs  
($ in 
thousands)    
                          
1/1/2018 to 1/31/2018      106,441      $ 8.22       106,441      $ 5,007    
2/1/2018 to 2/28/2018      24,486      $ 7.21       24,486      $ 4,830    
4/1/2018 to 4/30/2018      15,433      $ 6.09       15,433      $ 4,736    
",mistral-small-2603,simple
17,S3_TATHYBRID_0022a9993b61830a838d232e2e840b27,tathybrid,hard,WRONG,What is the amount of net sales from ProBugs Kelir in 2018 and 2019 respectively?,"2,795, 2,780","The answer is: 2019: $2,780; 2018: $2,795",lifeway-foods-inc_2019,"The answer is: 2,795 and 2,780","20     
  
Net Sales  
  
Net sales were $93,662 for the year ended December 31, 2019, a decrease of $9,688 or 9.4% versus prior year. The 
net sales softness continued to reflect the overall lower consumption in the dairy and cultured dairy product 
categories. Versus prior year, the decline was pr",mistral-small-2603,simple
18,S3_TATHYBRID_05d6f0b7266caa424d82675ec4d0ca2e,tathybrid,hard,REFUSED,What is net sales from cream and other in 2018 and 2019 respectively?,"5,276, 4,228","The provided text does not contain the specific numerical breakdown of net sales for ""cream and other"" for the years 2018 and 2019.

The answer is: Not mentioned",lifeway-foods-inc_2019,The answer is: Not available,"20     
  
Net Sales  
  
Net sales were $93,662 for the year ended December 31, 2019, a decrease of $9,688 or 9.4% versus prior year. The 
net sales softness continued to reflect the overall lower consumption in the dairy and cultured dairy product 
categories. Versus prior year, the decline was pr",mistral-small-2603,simple
19,S3_TATHYBRID_1098c97fef920d0f4107fa3be6f84e3a,tathybrid,hard,REFUSED,What is the deferred provision (benefit) for income tax for 2018 and 2019 respectively?,"(461), 533","The provided report does not explicitly state the deferred provision (benefit) for income tax for 2018 and 2019. While it mentions deferred income taxes in the balance sheet ($922 for 2019 and $390 for 2018), the specific provision (benefit) amounts are not provided in the text.

The answer is: Not available",lifeway-foods-inc_2019,The answer is: 922 and 390,"awards, and the provision for unrecognized tax benefits. The increase in the effective tax rate from 2018 to 2019 is 
due to the fact that the company has a number of items that are nondeductible or are discrete adjustments to tax 
expense. Although similar items were reflected in 2018, the percenta",mistral-small-2603,simple
20,S3_TATHYBRID_4b7153cbb854c224d6bb0fb509fe74fe,tathybrid,medium,REFUSED,What is the provision (benefit) for total current income taxes for 2018 and 2019 respectively?,"236, 249","[Assistant]: The provided context does not contain the specific breakdown of the provision for total current income taxes for 2018 and 2019.

The answer is: Not available",lifeway-foods-inc_2019,"The answer is: 154 (2019), 106 (2018)","awards, and the provision for unrecognized tax benefits. The increase in the effective tax rate from 2018 to 2019 is 
due to the fact that the company has a number of items that are nondeductible or are discrete adjustments to tax 
expense. Although similar items were reflected in 2018, the percenta",mistral-small-2603,simple
21,S3_TATHYBRID_ccc7a9080e0fea2e3181976dc634e30f,tathybrid,hard,WRONG,"In which year was Operating Leases greater than 100,000?",2022,The answer is: 2019,overseas-shipholding-group-inc_2019,,"adjusted for risk based on the length of the lease term because the rate implicit in the lease is not readily determinable.
 
The Company applied the package of practical expedients that allows companies not to reassess whether any expired or expiring
contracts are or contain leases, lease classific",mistral-small-2603,simple
22,S3_TATHYBRID_70b9c20fdab23a9cd16c8474c2be6d9c,tathybrid,hard,REFUSED,"In which year was Increases for positions taken in prior years less than 1,000?",2018,"The provided text does not contain information regarding ""Increases for positions taken in prior years.""

The answer is: Not mentioned",overseas-shipholding-group-inc_2019,The answer is: Not available in context,"Statement on Form S-1 filed on August 20, 2014 and incorporated herein by reference).
  
*10.30 Settlement, Release and Indemnity Agreement dated as of February 3, 2015 between the Registrant, certain subsidiaries
of the Registrant and an executive (filed as Exhibit 10.27 to the Registrant’s Annual ",mistral-small-2603,simple
23,S3_TATHYBRID_918d6fb907a4ff383e5d8e9da7db2728,tathybrid,hard,REFUSED,What was the Rate change in 2019 and 2018 respectively?,"(84), 0","The provided text does not contain a single ""Rate change"" value for 2019 and 2018, but it does provide the ""Average rate"" for various vessel categories (Jones Act Handysize Product Carriers, Non-Jones Act Handysize Product Carriers, ATBs, and Lightering) for both years.

The answer is: The average rates varied by vessel category and earnings type (Spot vs. Fixed) as detailed in the provided tables.",overseas-shipholding-group-inc_2019,,"primarily resulted from three fewer vessels in operation during most of 2019 compared to 2018 and one less Government of Israel
voyage in 2019 compared to 2018. This decrease was partially offset by the addition of two new vessels to our fleet at the
beginning of the fourth quarter of 2019.
 
Reconc",mistral-small-2603,simple
24,S3_TATHYBRID_65dac64cb09b645dd52cc8f4a696544e,tathybrid,hard,REFUSED,"What is the change in Liabilities: Deferred income taxes from Balance at December 31, 2017 to January 1, 2018?",-108,"The provided text does not contain information regarding the specific balance of ""Liabilities: Deferred income taxes"" at December 31, 2017, or January 1, 2018, nor does it provide a reconciliation that would allow for the calculation of a change between those two specific dates.

The answer is: Not mentioned",overseas-shipholding-group-inc_2019,The answer is: Not determinable from the context.,"in the financial statements. Under this method, deferred tax assets and liabilities are determined based on the differences
between the financial statements and tax basis of assets and liabilities using enacted tax rates in effect for the year in
which the differences are expected to reverse. The ef",mistral-small-2603,simple
25,S3_TATHYBRID_6122b1882bcd7b0a238a04bce284e40e,tathybrid,hard,REFUSED,"In which year was Prepaid expenditures less than 6,000?",2019,"The provided text does not contain information regarding ""Prepaid expenditures.""

The answer is: Not mentioned",overseas-shipholding-group-inc_2019,The answer is: Not available,"deferred finance costs, was not material.
 
In August 2019, two of the Company’s subsidiaries entered into term loans in an aggregate principal amount of $50,000, due 2024,
to finance the Overseas Gulf Coast and the Overseas Sun Coast. The loans are secured by first preferred ship mortgages on the
v",mistral-small-2603,simple
26,S3_TATHYBRID_f0a1bd31aa64c790c41e42920619040b,tathybrid,hard,REFUSED,What was the Prepaid expenditures in 2019 and 2018 respectively?,"5,621, 7,108","The provided text does not contain information regarding ""Prepaid expenditures"" for 2019 and 2018.

The answer is: Not mentioned",overseas-shipholding-group-inc_2019,The answer is: Not available,"Years Ended December 31,  
  2019   2018  
Items not yet recognized as a component of net periodic benefit cost (pension and
other postretirement benefit plans)   (6,409)  (7,192)
  $ (6,409) $ (7,192)
 
76 Overseas Shipholding Group, Inc. 
 
The following tables present the changes in the balances ",mistral-small-2603,simple
27,S3_TATHYBRID_0edf2f7aeed2b8ca6a2e0ed95641bf15,tathybrid,hard,REFUSED,What was the Contracts of affreightment revenues in 2019 and 2018 respectively?,"58,589, 68,698","The provided text does not contain information regarding ""Contracts of affreightment revenues"" for 2019 and 2018.

The answer is: Not mentioned",overseas-shipholding-group-inc_2019,The answer is: Not provided,"primarily resulted from three fewer vessels in operation during most of 2019 compared to 2018 and one less Government of Israel
voyage in 2019 compared to 2018. This decrease was partially offset by the addition of two new vessels to our fleet at the
beginning of the fourth quarter of 2019.
 
Reconc",mistral-small-2603,simple
28,S3_TATHYBRID_ff06d83c2832cd8f43f1a6c350b5b7ae,tathybrid,hard,WRONG,"What was the value of Vessels, net in 2019 and 2018 respectively?","644,312, 596,929","The provided context lists ""Vessels and other property, less accumulated depreciation and amortization"" as $737,212 (in thousands) for 2019 and $597,659 (in thousands) for 2018.

The answer is: 2019: $737,212; 2018: $597,659",overseas-shipholding-group-inc_2019,"### Context: primarily resulted from three fewer vessels in operation during most of 2019 compared to 2018 and one less Government of Israel voyage in 2019 compared to 2018. This decrease was partially offset by the addition of two new vessels to our fleet at the beginning of the fourth quarter of 2019.

Reconciliations of TCE revenues, a non-GAAP measure, to shipping revenues as reported in the consolidated statements of operations follows:

| Years Ended December 31, | 2019       | 2018       |
|--------------------------|------------|------------|
| Time charter equivalent revenues | $ 335,133  | $ 326,707  |
| Add: Voyage expenses     | 20,414     | 39,456     |
| Shipping revenues        | $ 355,547  | $ 366,163  |

Consistent with general practice in the shipping industry, we use TCE revenues, which represents shipping revenues less voyage expenses, as a measure to compare revenue generated from a voyage charter to revenue generated from a time charter. TCE revenues, a non-GAAP measure, provides additional meaningful information in conjunction with shipping revenues, the most directly comparable GAAP measure, because it assists management in decisions regarding the deployment and use of our vessels and in evaluating their financial performance.

39 Overseas Shipholding Group, Inc.

The following table provides","primarily resulted from three fewer vessels in operation during most of 2019 compared to 2018 and one less Government of Israel
voyage in 2019 compared to 2018. This decrease was partially offset by the addition of two new vessels to our fleet at the
beginning of the fourth quarter of 2019.
 
Reconc",mistral-small-2603,simple
29,S3_TATHYBRID_f7af7aebbd48ae1684ba8f8d7402c3fa,tathybrid,hard,REFUSED,What was the Time and bareboat charter revenues revenues in 2019 and 2018 respectively?,"$263,683, $213,923","The provided text does not explicitly state a single line item for ""Time and bareboat charter revenues."" However, it provides ""Time charter equivalent revenues"" of $335,133 for 2019 and $326,707 for 2018, and mentions that total time charter revenue for 2019 was $263,683 ($263,416 lease income + $267 adjustments). The report does not provide a specific breakdown for bareboat charter revenues.

The answer is: Not provided",overseas-shipholding-group-inc_2019,,"primarily resulted from three fewer vessels in operation during most of 2019 compared to 2018 and one less Government of Israel
voyage in 2019 compared to 2018. This decrease was partially offset by the addition of two new vessels to our fleet at the
beginning of the fourth quarter of 2019.
 
Reconc",mistral-small-2603,simple
